MouseSpeed,ClickintervalAvg,scrollSpeedAvg,averageTypingSpeed,averageTimeSpent,label
0,0,10.42857143,0.2633333333,0.003599999964,0
0,0,0.7203947368,0.1053333333,0.001099999964,0
0,250.5,0.2685420744,0.252,0,0
0,0,3.569711538,0.029,0,0
0,0,0.7604166667,0.099,0.001,0
0,0,3.388392857,0.0305,0,0
0,0,0.7064516129,0.107,0.001199999988,0
0,0,3.43035343,0.0325,0,0
0,0,0.73,0.1036666667,0.001300000012,0
0,0,3.887931034,0.0275,0,0
0,0,0.7765957447,0.09766666667,0.001099999964,0
0,0,3.78125,0.0285,0,0
0,0,0.73,0.103,0.001100000024,0
0,0,3.85,0.0285,0,0
0,0,0.7604166667,0.09866666667,0.001100000024,0
0,0,2.809597523,0.037,0,0
0,0,0.7448979592,0.101,0.001,0
0,0,3.75,0.03,0,0
0,0,3.85,0.029,0,0
0,0,0.6676829268,0.113,0.001199999988,0
0,0,3.569711538,0.029,0,0
0,0,0.7398648649,0.102,0.001199999988,0
0,0,3.887931034,0.0285,0,0
0,0,4,0.029,0,0
0,0,3.78125,0.0305,0,0
0,0,3.0056926,0.0315,0,0
0,0,3.75,0.03,0,0
0,0,3.814516129,0.0285,0,0
0,0,3.638461538,0.028,0,0
0,0,3.421658986,0.0285,0.001,0
0,0,3.3,0.028,0,0
0,0,0.73,0.1033333333,0.001099999964,0
0,0,2.833068362,0.034,0,0
0,0,0.7180327869,0.1046666667,0.001099999964,0
0,0,0.6636363636,0.113,0.001300000012,0
0,0,3.85,0.029,0.001,0
0,0,0.7657342657,0.09833333333,0.001,0
0,0,3.264516129,0.0295,0,0
0,0,0.7630662021,0.09833333333,0.001,0
0,0,3.75,0.031,0,0
0,0,0.7630662021,0.09933333333,0.001199999988,0
0,0,3.602977667,0.0285,0,0
0,0,0.7738515901,0.098,0.001300000012,0
0,0,3.602977667,0.03,0.001,0
0,0,0.73,0.103,0.001,0
0,0,3.75,0.0305,0,0
0,0,0.6517857143,0.115,0.001100000024,0
0,0,3.264516129,0.03,0,0
0,0,0.6596385542,0.1146666667,0.001199999988,0
0,0,3.421658986,0.0285,0,0
0,0,0.7711267606,0.098,0.001300000012,0
0,0,3.638461538,0.028,0,0
0,0,0.7398648649,0.102,0.001099999964,0
0,0,3.357142857,0.0315,0.001,0
0,0,0.7551724138,0.099,0.001,0
0,0,3.569711538,0.0295,0.001,0
0,0,0.7711267606,0.098,0.001199999988,0
0,0,3.142857143,0.0295,0,0
0,0,0.7041800643,0.1066666667,0.001099999964,0
0,0,3.2,0.031,0,0
0,0,0.684375,0.1103333333,0.001099999964,0
0,0,0.7087378641,0.1056666667,0.001100000024,0
0,0,4.064516129,0.029,0,0
0,0,0.7373737374,0.1026666667,0.002,0
0,0,4.1,0.0285,0,0
0,0,0.7849462366,0.09633333333,0.001,0
0,0,3.538461538,0.031,0,0
0,0,0.7551724138,0.09933333333,0.001,0
0,0,3.421658986,0.031,0.001,0
0,0,0.7087378641,0.1063333333,0.001199999988,0
0,0,3.720588235,0.03,0,0
0,0,0.6616314199,0.1136666667,0.001099999964,0
0,0,3.717032967,0.028,0,0
0,0,0.7251655629,0.1036666667,0.001100000024,0
0,0,4.064516129,0.0285,0,0
0,0,0.73,0.1033333333,0.001100000024,0
0,0,3.75,0.029,0,0
0,0,0.7373737374,0.1033333333,0.001300000012,0
0,0,3.538461538,0.03,0,0
0,0,0.8021978022,0.09433333333,0.001,0
0,0,3.602977667,0.0285,0.001,0
0,0,0.8141263941,0.093,0.001099999964,0
0,0,3.638461538,0.029,0,0
0,0,0.7525773196,0.1,0.001199999988,0
0,0,3.481318681,0.031,0,0
0,0,0.7793594306,0.097,0.001199999988,0
0,0,0.6066481994,0.123,0.001199999988,0
0,0,3.638461538,0.028,0,0
0,0,0.7765957447,0.09633333333,0.001100000024,0
0,0,3.85,0.029,0,0
0,0,0.7711267606,0.09766666667,0.001,0
0,0,3.421658986,0.0295,0,0
0,0,0.7577854671,0.09966666667,0.001199999988,0
0,0,0.7373737374,0.102,0.001199999988,0
0,0,4.1,0.027,0,0
0,0,0.7604166667,0.09933333333,0.001199999988,0
0,0,3.638461538,0.0295,0,0
0,0,0.7934782609,0.09533333333,0.001100000024,0
0,0,3.538461538,0.032,0,0
0,0,0.75,0.1,0.001300000012,0
0,0,0.584,0.128,0.001099999964,0
0,0,3.85,0.028,0,0
0,0,0.7275747508,0.1036666667,0.001100000024,0
0,0,3.170588235,0.03,0,0
0,0,0.7604166667,0.099,0.001199999988,0
0,0,3.78125,0.03,0,0
0,0,0.684375,0.11,0.001,0
0,0,3.357142857,0.03,0,0
0,0,4.1,0.0285,0,0
0,0,3.569711538,0.029,0,0
0,0,3.509049774,0.0315,0,0
0,0,3.538461538,0.0295,0,0
0,0,3.85,0.0275,0,0
0,0,3.85,0.028,0,0
0,0,3.457142857,0.0285,0,0
0,0,4.03125,0.0295,0,0
0,0,4.064516129,0.0285,0,0
0,0,3.814516129,0.0295,0,0
0,0,3.75,0.03,0,0
0,0,0.75,0.1,0.001099999964,0
0,0,3.814516129,0.0295,0,0
0,0,3.676392573,0.0275,0,0
0,0,4.064516129,0.03,0.001,0
0,0,3.814516129,0.028,0,0
0,0,3.170588235,0.033,0,0
0,0,3.388392857,0.029,0,0
0,0,4.1,0.0275,0,0
0,0,3.676392573,0.027,0,0
0,0,3.357142857,0.03,0.001,0
0,0,3.78125,0.0285,0,0
0,0,3.602977667,0.03,0,0
0,0,4.064516129,0.028,0,0
0,0,3.85,0.028,0,0
0,0,3.814516129,0.0295,0,0
0,0,4,0.03,0,0
0,0,3.2,0.03,0,0
0,0,0.7849462366,0.09633333333,0.001,0
0,0,3.78125,0.0315,0,0
0,0,0.7275747508,0.104,0.004299999952,0
0,0,3.1625,0.0295,0.001,0
0,0,0.75,0.101,0.001,0
0,0,3.814516129,0.0295,0,0
0,0,3.273809524,0.032,0,0
0,0,0.690851735,0.109,0.001099999964,0
0,0,3.85,0.0295,0,0
0,0,0.6676829268,0.113,0.0015,0
0,0,3.602977667,0.029,0,0
0,0,3.75,0.0295,0,0
0,0,0.7041800643,0.107,0.001,0
0,0,3.3,0.0315,0.001,0
0,0,3.569711538,0.031,0,0
0,0,0.590296496,0.1263333333,0.001199999988,0
0,0,3.569711538,0.03,0.001,0
0,0,3.170588235,0.0325,0.001,0
0,0,3.495073892,0.029,0,0
0,0,3.327731092,0.032,0,0
0,0,3.602977667,0.0285,0,0
0,0,3.509049774,0.031,0,0
0,0,3.457142857,0.0285,0.001,0
0,0,3.75,0.029,0.001,0
0,0,3.638461538,0.028,0.001,0
0,0,3.814516129,0.0285,0.001,0
0,0,3.814516129,0.028,0,0
0,0,3.75,0.0305,0,0
0,0,3.602977667,0.029,0,0
0,0,3.569711538,0.031,0,0
0,0,3.273809524,0.048,0,0
0,0,3.569711538,0.031,0,0
0,0,3.457142857,0.0285,0,0
0,0,4.4,0.0285,0,0
0,0,3.457142857,0.0285,0.001,0
0,0,3.357142857,0.0305,0,0
0,0,3.85,0.028,0,0
0,0,3.388392857,0.0305,0,0
0,0,3.538461538,0.031,0,0
0,0,3.78125,0.0305,0.001,0
0,0,4.064516129,0.028,0,0
0,0,3.538461538,0.0315,0,0
0,0,3.814516129,0.028,0,0
0,0,3.602977667,0.029,0,0
0,0,3.638461538,0.029,0.001,0
0,0,3.602977667,0.03,0,0
0,0,3.85,0.0285,0,0
0,0,3.602977667,0.029,0,0
0,0,3.264516129,0.03,0.001,0
0,0,3.638461538,0.029,0,0
0,0,2.864583333,0.032,0,0
0,0,2.26744186,0.064,0,0
0,0,3.641891892,0.033,0,0
0,0,3.720588235,0.03,0,0
0,0,3.388392857,0.031,0,0
0,0,3.19,0.0545,0.001,0
0,0,3.0625,0.032,0,0
0,0,3.78125,0.0285,0,0
0,0,3.538461538,0.029,0,0
0,0,3.602977667,0.029,0,0
0,0,3.78125,0.028,0,0
0,0,4.064516129,0.0285,0,0
0,0,3.814516129,0.0295,0.001,0
0,0,4.03125,0.0285,0,0
0,0,3.327731092,0.031,0,0
0,0,3.602977667,0.0295,0.001,0
0,0,3.814516129,0.029,0,0
0,0,3.357142857,0.0305,0.001,0
0,0,3.638461538,0.0285,0,0
0,0,3.421658986,0.0275,0,0
0,0,3.602977667,0.0285,0,0
0,0,3.814516129,0.0285,0.001,0
0,0,3.602977667,0.03,0.001,0
0,0,4.064516129,0.029,0.001,0
0,0,3.85,0.0285,0,0
0,0,3.676392573,0.028,0.001,0
0,0,3.538461538,0.0295,0,0
0,0,3.85,0.029,0,0
0,0,3.78125,0.029,0.001,0
0,0,3.85,0.0285,0.001,0
0,0,3.638461538,0.027,0,0
0,0,3.85,0.029,0,0
0,0,3.638461538,0.0285,0,0
0,0,3.337931034,0.028,0,0
0,0,3.3,0.0295,0,0
0,0,3.3,0.028,0,0
0,0,3.388392857,0.03,0,0
0,0,3.421658986,0.0295,0,0
0,0,3.0625,0.0325,0,0
0,0,3.457142857,0.028,0,0
0,0,4.03125,0.0295,0,0
0,0,3.814516129,0.029,0.001,0
0,0,3.78125,0.029,0,0
0,0,3.78125,0.029,0.001,0
0,0,3.814516129,0.029,0,0
0,0,3.264516129,0.029,0,0
0,0,3.814516129,0.028,0,0
0,0,3.814516129,0.0285,0,0
0,0,4.064516129,0.0285,0,0
0,0,3.602977667,0.028,0,0
0,0,3.85,0.028,0,0
0,0,3.538461538,0.0295,0,0
0,0,3.78125,0.029,0.001,0
0,0,3.638461538,0.029,0.001,0
0,0,3.85,0.028,0,0
0,0,4.1,0.028,0,0
0,0,4.064516129,0.029,0,0
0,0,3.264516129,0.029,0.001,0
0,0,3.3,0.029,0,0
0,0,3.78125,0.029,0,0
0,0,3.457142857,0.0285,0,0
0,0,3.814516129,0.029,0.001,0
0,0,3.78125,0.0285,0,0
0,0,3.814516129,0.029,0,0
0,0,3.75,0.03,0,0
0,0,3.676392573,0.029,0.001,0
0,0,3.602977667,0.029,0,0
0,0,3.127016129,0.03,0,0
0,0,3.78125,0.029,0.001,0
0,0,3.85,0.0285,0,0
0,0,3.569711538,0.0295,0,0
0,0,3.85,0.0275,0.001,0
0,0,3.78125,0.0295,0,0
0,0,3.814516129,0.0295,0,0
0,0,3.421658986,0.028,0.001,0
0,0,3.814516129,0.0285,0.001,0
0,0,3.638461538,0.0295,0,0
0,0,3.638461538,0.028,0,0
0,0,3.85,0.028,0.001,0
0,0,3.602977667,0.028,0.001,0
0,0,3.421658986,0.0285,0,0
0,0,3.85,0.029,0,0
0,0,4.064516129,0.028,0,0
0,0,3.814516129,0.0285,0,0
0,0,3.638461538,0.0305,0.001,0
0,0,4,0.0305,0,0
0,0,3.85,0.0285,0,0
0,0,3.676392573,0.029,0,0
0,0,3.928571429,0.029,0,0
0,0,3.602977667,0.0285,0,0
0,0,4.064516129,0.028,0,0
0,0,3.78125,0.0275,0,0
0,0,3.85,0.028,0.001,0
0,0,3.676392573,0.029,0.001,0
0,0,3.457142857,0.029,0,0
0,0,3.85,0.028,0.001,0
0,0,3.23125,0.031,0,0
0,0,3.091891892,0.034,0,0
0,0,3.85,0.029,0,0
0,0,3.569711538,0.03,0,0
0,0,3.033088235,0.033,0.001,0
0,0,4.03125,0.0285,0.002,0
0,0,3.85,0.028,0,0
0,0,4.064516129,0.029,0,0
0,0,3.814516129,0.029,0,0
0,0,3.814516129,0.028,0,0
0,0,3.85,0.0295,0,0
0,0,3.814516129,0.029,0,0
0,0,3.85,0.0285,0,0
0,0,3.814516129,0.0295,0,0
0,0,2.209821429,0.036,0,0
0,0,3.638461538,0.0295,0.001,0
0,0,2.736842105,0.0315,0,0
0,0,3.814516129,0.0285,0.001,0
0,0,4.064516129,0.0285,0,0